PMCID,evtID,ctxID,label
PMC2587086,6024,taxonomy:9606,1
PMC2587086,314,taxonomy:10090,0
PMC2587086,606,tissuelist:TS-1047,1
PMC2587086,606,go:GO:0005777,1
PMC2587086,549,taxonomy:9606,1
PMC2587086,605,taxonomy:9606,1
PMC2587086,41518,taxonomy:9606,1
PMC2587086,3122,tissuelist:TS-0362,1
PMC2587086,3122,tissuelist:TS-0229,1
PMC2587086,402,tissuelist:TS-0362,1
PMC3138418,2917,cellosaurus:CVCL_9T09,1
PMC3138418,2917,taxonomy:9606,1
PMC3138418,2917,go:GO:0031012,0
PMC3138418,2917,tissuelist:TS-0934,1
PMC3138418,2917,tissuelist:TS-0362,1
PMC3666248,3822,tissuelist:TS-0013,1
PMC3666248,6010,tissuelist:TS-0013,1
PMC3666248,6215,tissuelist:TS-0013,1
PMC3666248,71015,go:GO:0005819,0
PMC3666248,3422,cl:CL:0000134,1
PMC2636845,71114,tissuelist:TS-0725,0
PMC2636845,71114,taxonomy:10090,1
PMC2636845,5613,cl:CL:0002372,0
PMC2636845,5613,cl:CL:0000056,1
PMC2636845,5613,cl:CL:0000187,1
PMC2636845,5613,tissuelist:TS-0725,0
PMC2636845,5613,taxonomy:10090,1
PMC2636845,5331,cl:CL:0002372,0
PMC2636845,5331,cl:CL:0000056,1
PMC2636845,5331,tissuelist:TS-0725,0
PMC2636845,71114,cl:CL:0002372,0
PMC2636845,71114,cl:CL:0000056,1
PMC2636845,71114,cl:CL:0000187,1
PMC2636845,5331,taxonomy:10090,1
PMC2636845,52831,cl:CL:0000056,1
PMC2636845,71114,cl:CL:0000056,1
PMC2636845,52831,cl:CL:0000187,1
PMC2636845,5331,cl:CL:0000187,0
PMC3635065,32425,cl:CL:0000034,1
PMC3635065,32425,taxonomy:9606,1
PMC3635065,32425,tissuelist:TS-0417,1
PMC3635065,32425,tissuelist:TS-0416,1
PMC3635065,32425,cl:CL:0000047,1
PMC3640659,17814,tissuelist:TS-0618,1
PMC3640659,31314,cl:CL:0002334,1
PMC3640659,1402,tissuelist:TS-0720,0
PMC3640659,31314,tissuelist:TS-0618,1
PMC3640659,1245,tissuelist:TS-0012,0
PMC2686753,1792231,tissuelist:TS-0923,1
PMC2686753,1792231,uberon:UBERON:0000479,1
PMC2686753,1792231,tissuelist:TS-0278,1
PMC2686753,1792231,cellosaurus:CVCL_0372,0
PMC2686753,1792231,tissuelist:TS-0591,1
PMC2686753,1792231,tissuelist:TS-0636,1
